receipt_id,token_in_address,amount_in,token_out_address,transaction_signer,day
44gCPmyzUSUzd8X9rG6STCyYZ5SJRB8nyrW7dsxKM56z,celo.token.a11bd.near,595455811627644086274429,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,28f5a4a69efed1aa682232159b6b66f70451240af7f30b0286530a97ed4ee12f,28-08-2022
CjCrpskHbhm92m4iFjJe2tZAh9BXqJ8VCkcoodwxuvEX,usn,89045763876967410492,aurora,nonsense.near,28-08-2022
HzbsTcPFJopUsz5LZgmUpWxsfN3kPY13725n7vojtnV,token.v2.ref-finance.near,343607599256342952291,aurora,nonsense.near,28-08-2022
3xmB53rLxTWsg7CcdXj53UxLzwvYJykFyrzqi1MpinwU,wrap.near,4537953125000000000000000,d9c2d319cd7e6177336b0a9c93c21cb48d84fb54.factory.bridge.near,8117b661210cb92918f916631fd636528ca301fc56e20d5be9c316d6f833fbd5,28-08-2022
CHk2QdRa88zxfmjHKKTnK2SuCisRRQPRAUnHQKczAKcf,wrap.near,4999999999999938175959040,d9c2d319cd7e6177336b0a9c93c21cb48d84fb54.factory.bridge.near,billiondollars.near,28-08-2022
6wsND2TCnLvWH1gJH31UooM52cTJ8XNgVa7BExyA7F3P,wrap.near,25159182896780553399455018,d9c2d319cd7e6177336b0a9c93c21cb48d84fb54.factory.bridge.near,test_near.near,28-08-2022
83bbks3uCJ13J4Xtzp4eLJaP3sutFZxNiwEdtM2raaYj,d9c2d319cd7e6177336b0a9c93c21cb48d84fb54.factory.bridge.near,15000000000000000000,wrap.near,nonsense.near,28-08-2022
HV31JEcev423J8zF7L97rMi9yuZsd3XyhcEb6XpjFCit,wrap.near,17831307982448722500000000,2260fac5e5542a773aa44fbcfedf7c193bc2c599.factory.bridge.near,22cbf9172b7207e2e68321cccccaea12df30dff16e741892ca159736ec5bb9b0,28-08-2022
D7ivL8t4M62iFHinSKuNEqEKvjXxwSsq6AyXQqD1FCNg,token.paras.near,288700000000000000000,wrap.near,paypass.near,28-08-2022
DtMdr1xbL7gf4auQwfuVAc4gT1VQjttBDQrbNSAE8MLQ,wrap.near,12501526114615758000000000,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,9e674d8c4f93884de03fc009e2230e32fb11e99832a00de2f0df051e7158f703,28-08-2022
8hAPcoxucNAJbvNJFFSASvDzm2WYKqA57C8UWzNE3s65,wrap.near,55417937726101755989989504,usn,usn-unofficial.poolowner.near,28-08-2022
7F86fg7GaddiunTcPbdpMKESkv2XTZw5gPPrqFoqyw8m,wrap.near,15899999999999999572180992,token.paras.near,paypass.near,28-08-2022
4tRYsi6FcDXTFdJ5kAwxYidFZAjRVVNDPbc1xrNzySoQ,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,100000000,wrap.near,blad.near,28-08-2022
6dQbTPy9maK1Z4vGDTtCt1c2pJJDXHNxUY6DTTvmayp1,meta-pool.near,11492022286663575891653522,wrap.near,eassets.near,28-08-2022
GdqHJMpHAvc5qs1c8TcLZu8kYsFXGZXeKnRGajzWiQ2W,token.v2.ref-finance.near,619682975893962585912,wrap.near,retk.near,28-08-2022
wACpdL7fA2zqw7Ss7dqva3gpk1CmXZzyVdkLBNRvK1D,dac17f958d2ee523a2206206994597c13d831ec7.factory.bridge.near,50194542,meta-pool.near,eassets.near,28-08-2022
9wjk6Sx5zsgaVyksUzQ5zu8BVeANw6aSBcvXs988wkrL,usn,50236232017580089615,dac17f958d2ee523a2206206994597c13d831ec7.factory.bridge.near,eassets.near,28-08-2022
2P2yPxPTYwfAiD9yU3cV7VFktFtQNZL9UrXHQfbbrhxp,token.v2.ref-finance.near,128203298919397809926,wrap.near,castnowski.near,28-08-2022
5PirGGLfVptembRoc26pWR6H61utVXtax1iM1ZQfPVsk,aaaaaa20d9e0e2461697782ef11675f668207961.factory.bridge.near,84057596056576023158,wrap.near,retk.near,28-08-2022
9LMJv7GDXEiReaXjbFHRdBAeteaZkqW2sFuketzTsfMz,wrap.near,8700000000000000981467136,deip-token.near,paypass.near,28-08-2022
4CC858r3LPgHEAZc4H65vGhX9ZdJ1QfV67ajiDGnpkAi,deip-token.near,50000000000000000000000,token.v2.ref-finance.near,haismse54.near,28-08-2022
8yMXWmHMbFaD4NqHZw3eqVgcJ4jAhjpZESLCviqzVDNx,wrap.near,2599999999999999849005056,deip-token.near,paypass.near,28-08-2022
7Fiv5gLMuWdkfLVqDku95iZAL16WKj44nhiaPCBS8ihg,token.pembrock.near,576336386618536542680,usn,884e0aa90212fb91dc0b718987c5c5fc140cf5694316645f6716d5aaa2ef0a9a,28-08-2022
FE5PaxjgSc1CtfUV9T888JhgXPCNUFerd2JGYarn1mSR,wrap.near,8599999999999999748341760,deip-token.near,paypass.near,28-08-2022
4bafRV7JssvCn1XgSvfybJHpqaGQUMzkByQkdJxPPMqs,wrap.near,11230947599440243500000000,2260fac5e5542a773aa44fbcfedf7c193bc2c599.factory.bridge.near,22cbf9172b7207e2e68321cccccaea12df30dff16e741892ca159736ec5bb9b0,28-08-2022
37D6BPNnrK9BV9vPY6rixd2vgKjonA9NSpqbkr7crGk7,token.paras.near,1434026199726872771809,wrap.near,forexlike.near,28-08-2022
4RiF3xrwGZYhzWJLFP1UGUJYnA7b1W2oPb5WTFnnyLxe,deip-token.near,50000000000000000000000,token.v2.ref-finance.near,haismse54.near,28-08-2022
BPXMWNSQdqKZcToT1LJB4DXtBF7L5fNaV4dMkZjW9Lod,deip-token.near,50000000000000000000000,token.v2.ref-finance.near,haismse54.near,28-08-2022
D7YXXGs5grpB9VrXr9ypxN8WExs6gZum78iRL42X9oBw,52a047ee205701895ee06a375492490ec9c597ce.factory.bridge.near,2411563000000000000000,wrap.near,forexlike.near,28-08-2022
74zMjrFPGLY4x6qCVwQhaSWweKpz3Xuy98JThWWVS8tw,wrap.near,392258064516129032258064516,dac17f958d2ee523a2206206994597c13d831ec7.factory.bridge.near,7c5206b1b75b8787420b09d8697e08180cdf896c5fcf15f6afbf5f33fcc3cf72,28-08-2022
Gdc8ESxtRjFGs9v82MfGPcufkJRJmWfmYmfNdLEU3R1T,wrap.near,4400000000000000033554432,deip-token.near,paypass.near,28-08-2022
GGpMG8rck3NPvweS6hXDWG6LAqHHcteRDukw4qaK87ku,deip-token.near,50000000000000000000000,token.v2.ref-finance.near,haismse54.near,28-08-2022
