receipt_id,token_in_name,token_out_name,token_in_price,token_out_price,swap_volume_usd,transaction_signer,exchange_name,exchange_type,exchange_timestamp
3897LUYQqEBockbxCFnxnSgQAwzPnbfwDRNawsgzzivy,wrapped-near,usd-coin-avalanche-bridged-usdc-e,3.7743669623571368,1.0034784753407773,44.92566,9e674d8c4f93884de03fc009e2230e32fb11e99832a00de2f0df051e7158f703,ref.finance,POOL,1661733865516019013
7r9WxrFTKLZiXoHPYPgVys1riHFyKajcKgq3iK8cxCUC,wrapped-near,tether-avalanche-bridged-usdt-e,3.7743669623571368,1.003185111444977,7.54873,c671fc389e50ff21d19af1c1b196cc0b96f700dc1e1c497683e3b94b25372d92,ref.finance,POOL,1661733790751006981
HoX9YMS7XJb7rQR2Tx5R8veD97wi5VgkkFCkMmdLt7uz,wrapped-near,usd-coin-avalanche-bridged-usdc-e,3.7743669623571368,1.0034784753407773,64.68883,9e674d8c4f93884de03fc009e2230e32fb11e99832a00de2f0df051e7158f703,ref.finance,POOL,1661733453299689992
4jspkqSLyrhuuEV4LXT5j265CiQMkRcB74qCkrMg3bH8,wrapped-near,ethereum-wormhole,3.7743669623571368,1500.5373284480372,63.67305,22cbf9172b7207e2e68321cccccaea12df30dff16e741892ca159736ec5bb9b0,ref.finance,POOL,1661733395363981185
HHPy6K9w77gfExiNEqG6gdSyPSgpdT1UbvQPXLJwJEfh,oin-finance,wrapped-near,0.020803034910589394,3.926304977252688,0.02418,7c34728ac3f27ccf253b501f45d014f942cae75eccb6fcc72b40ce2745fe2ce5,ref.finance,POOL,1661738682362705014
6aAzDXipEVB2nYC8Ln1ypDLEQFVp5WEz9ugmSE6YUhAQ,wrapped-near,burrow,3.7743669623571368,0.00941233006024526,75.48734,07cf81e2029f887f14f1f83fe1d53802c91539d9e0c8aae77505600fb13206e0,ref.finance,POOL,1661738661373375844
4wwjMapGzFwi8JmCYV1eJsoLtACFyYneZBkMYrG9FGVq,wrapped-near,aurora-near,3.7743669623571368,1.1964910362325345,117.00538,resetme.near,ref.finance,POOL,1661731037795735319
5oHZnrxyJumdfc1VdFTrmM9pPUqcBjGb965fhkUvHrWV,wrapped-near,aurora-near,3.7743669623571368,1.1964910362325345,1656.9471,smartlyc.near,ref.finance,POOL,1661731032488865393
7ftU5dVrs1SyREwUmgVe9feEGauLnCX8mp2ZKy4x1qrJ,wrapped-near,paras,3.7743669623571368,0.03340836621591496,1302.1566,kdeposit.near,ref.finance,POOL,1661731028566240904
A61uEjqFo41pxeTVWaHqrhjxtmX3Rzo4SdvGAf68ejLT,wrapped-near,wrapped-bitcoin,3.7743669623571368,20276.905208378128,77.70013,22cbf9172b7207e2e68321cccccaea12df30dff16e741892ca159736ec5bb9b0,ref.finance,POOL,1661730969236041779
2vTdWxMCztnqNKLPmdBRMrTVQBf66atTT4RR8caJTRbW,allbridge,wrapped-near,0.8312696762078944,3.926304977252688,9.60841,whendacha.near,ref.finance,POOL,1661730951315968207
957acqyd9te9rksL1KGk8u9VaQVAfN17wnA2y1cHbNxn,oin-finance,wrapped-near,0.020803034910589394,3.926304977252688,1.9552,vchieu05.near,ref.finance,POOL,1661730935546514613
E6tBxUc6XjpaUvTCGdaEPK59RWypeZy2qLUYc4n9UiVw,ref-finance,wrapped-near,0.3490445864326606,3.926304977252688,28.78993,whendacha.near,ref.finance,POOL,1661730916989065325
eFKBBcvrDK6ouYUX1RbZ32eSA8xV1gCekSBqsPDBZjx,wrapped-near,usn,3.7743669623571368,0.9992655017845189,75.48734,78639772ac57d4b15e12a01fa51830a3f9fa318c46b690ae4ea467cf65ed690f,ref.finance,POOL,1661730907827943633
D6N2CsFo78f4YRQyVzx6Sssgyhxse5JxqvaBPWGnZXJE,wrapped-near,usd-coin-avalanche-bridged-usdc-e,3.7743669623571368,1.0034784753407773,34.81687,9e674d8c4f93884de03fc009e2230e32fb11e99832a00de2f0df051e7158f703,ref.finance,POOL,1661730902449867220
H2LjX4pWfqybDwMTrynGx4FbLJXdSHKnt6ZhGp7BpcpL,celo,wrapped-near,0.7896279693217413,3.926304977252688,44.0404,whendacha.near,ref.finance,POOL,1661730883934480424
HNE1qYaNfBmKQ4L7j33fqoxvqGCwAGKKzGwtbySVBkdk,eautocoin,wrapped-near,2.2474036820023845e-05,3.926304977252688,0.00189,whendacha.near,ref.finance,POOL,1661730851443777675
